i: 5, j: 5, k: 5, learn: 0.01, lambda: 1, h1: Tanh(), h2: Tanh()
Epoch: 10 	Training Cost: 13528.149414	 Val Cost: 313943.106059	 Valid Acc: 0.630962461191081
Epoch: 11 	Training Cost: 13447.319336	 Val Cost: 304248.501649	 Valid Acc: 0.64422805532035
Epoch: 12 	Training Cost: 13210.965820	 Val Cost: 300465.234488	 Valid Acc: 0.645780412080158
Epoch: 13 	Training Cost: 13004.877930	 Val Cost: 295796.818351	 Valid Acc: 0.652695455828394
Epoch: 14 	Training Cost: 12825.980469	 Val Cost: 290394.076835	 Valid Acc: 0.659046006209427
Epoch: 15 	Training Cost: 12693.208984	 Val Cost: 287232.029876	 Valid Acc: 0.6628563364380469
Epoch: 16 	Training Cost: 12544.092773	 Val Cost: 282861.308527	 Valid Acc: 0.6669489133502682
Epoch: 17 	Training Cost: 12476.221680	 Val Cost: 281395.469226	 Valid Acc: 0.6713237369460909
Epoch: 18 	Training Cost: 12389.571289	 Val Cost: 277918.003119	 Valid Acc: 0.6783799040361276
Epoch: 19 	Training Cost: 12386.295898	 Val Cost: 276382.755454	 Valid Acc: 0.6809201241885408
Epoch: 20 	Training Cost: 12363.690430	 Val Cost: 274181.813255	 Valid Acc: 0.679226644086932
Epoch: 21 	Training Cost: 12329.955078	 Val Cost: 272304.562354	 Valid Acc: 0.6860005644933672
Epoch: 22 	Training Cost: 12393.543945	 Val Cost: 270665.926564	 Valid Acc: 0.6874117979113745
Epoch: 23 	Training Cost: 12332.516602	 Val Cost: 269316.812554	 Valid Acc: 0.6899520180637877
Epoch: 24 	Training Cost: 12296.290039	 Val Cost: 267593.754036	 Valid Acc: 0.6893875246965848
Epoch: 25 	Training Cost: 12289.085938	 Val Cost: 266700.964978	 Valid Acc: 0.6888230313293818
Epoch: 26 	Training Cost: 12335.766602	 Val Cost: 265513.680095	 Valid Acc: 0.6912221281399944
Epoch: 27 	Training Cost: 12312.529297	 Val Cost: 264628.381982	 Valid Acc: 0.6951735817104149
Epoch: 28 	Training Cost: 12325.936523	 Val Cost: 263154.877992	 Valid Acc: 0.6910810047981937
Epoch: 29 	Training Cost: 12316.482422	 Val Cost: 262372.377006	 Valid Acc: 0.6930567315834039
Epoch: 30 	Training Cost: 12530.229492	 Val Cost: 265073.601842	 Valid Acc: 0.6936212249506069
Epoch: 31 	Training Cost: 12586.798828	 Val Cost: 262876.885052	 Valid Acc: 0.6944679650014113
Epoch: 32 	Training Cost: 12477.344727	 Val Cost: 260765.612641	 Valid Acc: 0.694044594976009
Epoch: 33 	Training Cost: 12453.126953	 Val Cost: 259800.551252	 Valid Acc: 0.6931978549252046
Epoch: 34 	Training Cost: 12452.600586	 Val Cost: 259568.665296	 Valid Acc: 0.6944679650014113
Epoch: 35 	Training Cost: 12425.306641	 Val Cost: 258803.058423	 Valid Acc: 0.69616144510302
Epoch: 36 	Training Cost: 12365.480469	 Val Cost: 258255.646423	 Valid Acc: 0.6971493084956252
Epoch: 37 	Training Cost: 12379.087891	 Val Cost: 257545.974069	 Valid Acc: 0.6968670618120237
Epoch: 38 	Training Cost: 12376.200195	 Val Cost: 257259.759935	 Valid Acc: 0.6963025684448207
Epoch: 39 	Training Cost: 12326.933594	 Val Cost: 256695.660974	 Valid Acc: 0.6958791984194186
Epoch: 40 	Training Cost: 12307.760742	 Val Cost: 256207.587729	 Valid Acc: 0.6977138018628282
Epoch: 41 	Training Cost: 12318.151367	 Val Cost: 255990.149153	 Valid Acc: 0.6971493084956252
Epoch: 42 	Training Cost: 12297.384766	 Val Cost: 255445.126917	 Valid Acc: 0.6975726785210273
Epoch: 43 	Training Cost: 12229.774414	 Val Cost: 255297.725941	 Valid Acc: 0.694609088343212
Epoch: 44 	Training Cost: 12199.317383	 Val Cost: 254704.240812	 Valid Acc: 0.694044594976009
Epoch: 45 	Training Cost: 12179.121094	 Val Cost: 254462.316231	 Valid Acc: 0.6953147050522156
Epoch: 46 	Training Cost: 12176.942383	 Val Cost: 253867.243252	 Valid Acc: 0.6957380750776179
Epoch: 47 	Training Cost: 12147.212891	 Val Cost: 253657.130165	 Valid Acc: 0.6963025684448207
Epoch: 48 	Training Cost: 12149.385742	 Val Cost: 253039.901137	 Valid Acc: 0.6965848151284222
Epoch: 49 	Training Cost: 12146.900391	 Val Cost: 252999.547756	 Valid Acc: 0.6951735817104149
Epoch: 50 	Training Cost: 12147.115234	 Val Cost: 252673.626647	 Valid Acc: 0.6963025684448207
Epoch: 51 	Training Cost: 12151.878906	 Val Cost: 252326.796080	 Valid Acc: 0.6955969517358171
Epoch: 52 	Training Cost: 12151.172852	 Val Cost: 252245.051048	 Valid Acc: 0.6941857183178097
Epoch: 53 	Training Cost: 12143.430664	 Val Cost: 251475.503901	 Valid Acc: 0.6950324583686142
Epoch: 54 	Training Cost: 12130.620117	 Val Cost: 251600.766672	 Valid Acc: 0.6947502116850127
Epoch: 55 	Training Cost: 12128.610352	 Val Cost: 250805.891599	 Valid Acc: 0.694609088343212
Epoch: 56 	Training Cost: 12137.645508	 Val Cost: 250587.657756	 Valid Acc: 0.696725938470223
Epoch: 57 	Training Cost: 12153.345703	 Val Cost: 250189.867658	 Valid Acc: 0.6975726785210273
Epoch: 58 	Training Cost: 12159.298828	 Val Cost: 250333.043343	 Valid Acc: 0.696725938470223
Epoch: 59 	Training Cost: 12156.666992	 Val Cost: 249472.635904	 Valid Acc: 0.6958791984194186
Epoch: 60 	Training Cost: 12181.279297	 Val Cost: 249528.673944	 Valid Acc: 0.6965848151284222
Epoch: 61 	Training Cost: 12149.880859	 Val Cost: 248995.229510	 Valid Acc: 0.6981371718882303
Epoch: 62 	Training Cost: 12129.041992	 Val Cost: 249137.287544	 Valid Acc: 0.6960203217612193
Epoch: 63 	Training Cost: 12154.342773	 Val Cost: 248651.205062	 Valid Acc: 0.6964436917866215
Epoch: 64 	Training Cost: 12122.324219	 Val Cost: 248200.766044	 Valid Acc: 0.6957380750776179
